name,group_name,score,ticker,inception_date,portfolio_date,equity_percentage,holdings
Advance Capital I Core Equity Inst,Large Value,86.22,ADCNX,1/2/2008,6/30/2015,98.64,91
Advance Capital I Equity Growth Retail,Mid Value,79.37,ADEGX,8/5/1987,6/30/2015,98.65,134
Advisory Research All Cap Value,Large Blend,82.92,ADVGX,11/16/2009,4/30/2015,93.73,48
Advisory Research Small Company Opps,Small Blend,97.69,ADVSX,11/1/2013,4/30/2015,98.69,53
Aegis Value,Small Value,98.38,AVALX,5/15/1998,3/31/2015,98.25,58
Akre Focus Instl,Mid Growth,98.81,AKRIX,8/31/2009,4/30/2015,91.6,40
Al Frank Dividend Value Inv,Large Value,77.29,VALDX,9/30/2004,3/31/2015,97.39,79
Al Frank Inv,Large Value,80.39,VALUX,1/2/1998,3/31/2015,97.25,80
Alger Analyst A,Mid Growth,95.91,SPEAX,4/2/2007,5/31/2015,97.64,69
Alger Capital Appreciation B,Large Growth,58.15,ACAPX,10/29/1993,5/31/2015,98.7,137
Alger Capital Appreciation Focus I,Large Growth,66.89,ALGRX,11/8/1993,5/31/2015,94,54
Alger Capital Appreciation Instl I,Large Growth,57.89,ALARX,11/8/1993,5/31/2015,97.76,135
Alger Capital Appreciation Ptfl I-2,Large Growth,57.61,ALVOX,1/25/1995,5/31/2015,98.24,132
Alger Green A,Large Growth,68.41,SPEGX,12/4/2000,5/31/2015,96,71
Alger Growth & Income Fund Class A,Large Blend,54.79,ALBAX,12/31/1996,5/31/2015,95.17,87
Alger Growth & Income I-2,Large Blend,54.8,AIGOX,11/15/1988,5/31/2015,97.47,87
Alger Large Cap Growth I-2,Large Growth,63.8,AAGOX,1/9/1989,5/31/2015,99.42,106
Alger Mid Cap Growth B,Mid Growth,88.87,AMCGX,5/24/1993,5/31/2015,93.1,143
Alger Mid Cap Growth I-2,Mid Growth,88.89,AMGOX,5/3/1993,5/31/2015,93.29,147
Alger Mid Cap Growth Institutional I,Mid Growth,88.88,ALMRX,11/8/1993,5/31/2015,93.84,148
Alger Small Cap Focus A,Small Growth,87.91,AOFAX,3/3/2008,5/31/2015,96.26,48
Alger Small Cap Growth B,Small Growth,76.22,ALSCX,11/11/1986,5/31/2015,99.34,119
Alger Small Cap Growth I-2,Small Growth,76.28,AASOX,9/21/1988,5/31/2015,99.24,120
Alger Small Cap Growth Institutional I,Small Growth,76.21,ALSRX,11/8/1993,5/31/2015,99.27,120
Alger SMid Cap Growth A,Mid Growth,90.26,ALMAX,5/8/2002,5/31/2015,98.01,156
Alger SMid Cap Growth I-2,Mid Growth,90.27,AAMOX,1/2/2008,5/31/2015,99.09,156
Alger Spectra A,Large Growth,60.87,SPECX,7/28/1969,5/31/2015,99.27,152
AllianzGI Behavioral Advtg Lg Cp A,Large Blend,64.03,AZFAX,9/8/2011,6/30/2015,99.63,309
AllianzGI Best Styles US Equity Instl,Large Blend,48.49,ABTLX,12/1/2014,6/30/2015,90.88,259
AllianzGI Focused Growth C,Large Growth,61.99,PGWCX,2/24/1984,6/30/2015,98.23,34
AllianzGI Micro Cap Institutional,Small Growth,97.77,AMCIX,7/12/1995,6/30/2015,95.95,118
AllianzGI Mid-Cap Institutional,Mid Growth,91.94,DRMCX,11/6/1979,6/30/2015,99.41,65
AllianzGI NFJ All-Cap Value A,Large Value,62.85,PNFAX,7/19/2002,6/30/2015,99.3,55
AllianzGI NFJ Dividend Value Instl,Large Value,63.16,NFJEX,5/8/2000,6/30/2015,98.43,47
AllianzGI NFJ Large-Cap Value Instl,Large Value,56.59,ANVIX,5/8/2000,6/30/2015,99.18,65
AllianzGI NFJ Mid-Cap Value C,Mid Value,77.89,PQNCX,4/18/1988,6/30/2015,94.17,102
AllianzGI NFJ Small-Cap Value Instl,Small Value,79.29,PSVIX,10/1/1991,7/31/2015,91.9,141
AllianzGI Small-Cap Blend A,Small Blend,81.38,AZBAX,7/1/2013,6/30/2015,97.88,391
AllianzGI Ultra Micro Cap Institutional,Small Growth,99.73,AUMIX,1/28/2008,6/30/2015,97.21,103
AllianzGI US Managed Volatility A,Large Blend,85.65,NGWAX,7/19/2002,6/30/2015,99.6,89
AllianzGI US Small-Cap Growth Instl,Small Growth,86.54,AEMIX,10/1/1993,6/30/2015,97.16,123
AlphaCentric Smart Money A,Large Blend,97.36,SMRTX,7/31/2014,3/31/2015,97.87,40
AlphaMark Large Cap Growth,Large Growth,92.27,AMLCX,10/31/2008,7/31/2015,97.96,35
AlphaOne Micro Cap Equity I,Small Blend,99.4,AOMCX,3/31/2011,6/30/2015,95.6,64
Alpine Accelerating Dividend Instl,Large Blend,72.63,AADDX,11/5/2008,7/31/2015,97.45,85
Alpine Equity Income Institutional,Large Blend,72.27,ADBYX,6/7/2001,7/31/2015,92.54,86
Alpine Small Cap Inst,Small Growth,95.84,ADINX,7/12/2006,7/31/2015,93.15,42
Alpine Transformations Institutional,Mid Growth,97.14,ADTRX,12/31/2007,7/31/2015,91.21,66
ALPS | WMC Research Value A,Large Value,73.15,AMWYX,8/10/1971,3/31/2015,99.19,184
Amana Growth Investor,Large Growth,82.38,AMAGX,2/3/1994,7/31/2015,97.41,48
Amana Income Investor,Large Blend,81.3,AMANX,6/23/1986,7/31/2015,97.66,51
American Beacon Bahl&Gaynor SmCpGr A,Small Growth,89.57,GBSAX,7/15/2014,6/30/2015,96.02,73
American Beacon Bridgeway Lg Cp Val Inst,Large Value,74.52,BRLVX,10/31/2003,3/31/2015,98.77,115
American Beacon Holland Lg Cap Gr Inv,Large Growth,69.57,LHGFX,4/29/1996,3/31/2015,96.69,52
American Beacon Lg Cap Value Inst,Large Value,62.11,AADEX,7/17/1987,6/30/2015,96.42,210
American Beacon Mid Cap Value AMR,Mid Value,77.24,AMDIX,6/30/2004,6/30/2015,95.39,121
American Beacon S&P 500 Idx Instl,Large Blend,13.42,AASPX,12/31/1996,6/30/2015,97.15,504
American Beacon Small Cap Idx Inst,Small Blend,38.61,ASCIX,7/31/2000,6/30/2015,95.86,"1,979"
American Beacon Small Cp Val Inst,Small Value,68.49,AVFIX,12/31/1998,6/30/2015,96.06,591
American Beacon Stephens Mid-Cap Gr Inv,Mid Growth,92.13,STMGX,2/1/2006,6/30/2015,98.13,102
American Beacon Stephens Sm Cp Gr Inv,Small Growth,77.87,STSGX,12/1/2005,6/30/2015,99.19,110
American Beacon The London Co Inc Eq A,Large Value,71.38,ABCAX,5/29/2012,6/30/2015,96,35
American Beacon Zebra Small Cap Eq A,Small Value,97.66,AZSAX,6/1/2010,3/31/2015,96.74,288
American Century All Cap Growth Inv,Large Growth,59.93,TWGTX,11/25/1983,6/30/2015,99.28,90
American Century Capital Val Inv,Large Value,66.86,ACTIX,3/31/1999,6/30/2015,99.49,97
American Century Core Equity Plus A,Large Blend,86.98,ACPQX,10/31/2011,3/31/2015,97.61,201
American Century Disciplined Growth A,Large Growth,71.61,ADCVX,9/30/2005,6/30/2015,97.55,161
American Century Discp Growth Plus A,Large Growth,101.94,ACDQX,10/31/2011,3/31/2015,96.24,276
American Century Equity Growth Inv,Large Blend,58.53,BEQGX,5/9/1991,6/30/2015,99.1,134
American Century Equity Income Inv,Large Value,70.89,TWEIX,8/1/1994,6/30/2015,75.63,77
American Century Focused Growth Inv,Large Growth,80.23,AFSIX,2/28/2005,6/30/2015,98.48,54
American Century Fundamental Equity A,Large Blend,54.63,AFDAX,11/30/2004,6/30/2015,99.15,208
American Century Growth Inv,Large Growth,65.18,TWCGX,6/30/1971,6/30/2015,98.77,91
American Century Heritage Inv,Mid Growth,89.45,TWHIX,11/10/1987,6/30/2015,97.93,102
American Century Income & Growth Inv,Large Value,68.86,BIGRX,12/17/1990,6/30/2015,99.12,126
American Century Large Company Val Inv,Large Value,70.86,ALVIX,7/30/1999,6/30/2015,99.09,82
American Century Legacy Foc Lg Cap Instl,Large Blend,71.76,ACFSX,5/31/2006,6/30/2015,97.8,47
American Century Legacy Lg Cap Instl,Large Growth,76.21,ACGHX,5/31/2006,6/30/2015,98.46,58
American Century Legacy Multi Cap Instl,Mid Blend,93.32,ACMHX,5/31/2006,6/30/2015,96.37,113
American Century Mid Cap Value Inv,Mid Value,83.34,ACMVX,3/31/2004,6/30/2015,98.77,122
American Century New Opps Investor,Small Growth,84.62,TWNOX,12/26/1996,6/30/2015,98.52,158
American Century NT Core Eq Pls Instl,Large Blend,87.14,ACNKX,12/1/2011,3/31/2015,98.41,202
American Century NT Disciplined Gr Instl,Large Growth,71.61,ANDGX,3/19/2015,6/30/2015,98.06,161
American Century NT Equity Growth Instl,Large Blend,58.54,ACLEX,5/12/2006,6/30/2015,98.73,134
American Century NT Growth Institutional,Large Growth,65.17,ACLTX,5/12/2006,6/30/2015,98.75,91
American Century NT Heritage Institution,Mid Growth,89.45,ACLWX,5/12/2006,6/30/2015,97.91,101
American Century NT Large Co Val Instl,Large Value,71.92,ACLLX,5/12/2006,6/30/2015,98.72,80
American Century NT Mid Cap Value Instl,Mid Value,83.33,ACLMX,5/12/2006,6/30/2015,98.42,122
American Century NT Small Company Instl,Small Blend,85.05,ACLOX,5/12/2006,6/30/2015,99.66,315
American Century Select Inv,Large Growth,58.74,TWCIX,6/30/1971,6/30/2015,99.74,66
American Century Small Cap Growth Inv,Small Growth,75.98,ANOIX,6/1/2001,6/30/2015,97.37,156
American Century Small Cap Value Inv,Small Value,88.41,ASVIX,7/31/1998,6/30/2015,98.55,172
American Century Small Company Inv,Small Blend,84.97,ASQIX,7/31/1998,6/30/2015,99.03,316
American Century Ultra Inv,Large Growth,58.24,TWCUX,11/2/1981,6/30/2015,98.79,82
American Century Value Inv,Large Value,61.28,TWVLX,9/1/1993,6/30/2015,97.74,135
American Century Veedot Inv,Large Blend,65.7,AMVIX,11/30/1999,6/30/2015,98.47,113
American Funds AMCAP A,Large Growth,76.6,AMCPX,5/1/1967,6/30/2015,89.7,251
American Funds American Mutual A,Large Value,75.37,AMRMX,2/21/1950,6/30/2015,92.54,232
American Funds Fundamental Invs A,Large Blend,56.18,ANCFX,8/1/1978,6/30/2015,95.81,237
American Funds Growth Fund of Amer A,Large Growth,65.18,AGTHX,11/30/1973,6/30/2015,92.31,428
American Funds Invmt Co of Amer A,Large Blend,62.17,AIVSX,1/2/1934,6/30/2015,95,207
American Funds New Economy A,Large Growth,82.23,ANEFX,12/1/1983,6/30/2015,88.15,233
American Funds Washington Mutual A,Large Value,70.22,AWSHX,7/31/1952,6/30/2015,97.41,192
American Growth Fund Series Two E,Large Growth,85.09,AMREX,2/24/2011,4/30/2015,100.32,16
American Indep Laffer Dividend Gr A,Large Value,76.45,LDGAX,12/19/2013,6/30/2015,98.81,26
American Indep Stock A,Large Value,83.62,IFCSX,1/21/1997,6/30/2015,96.26,31
American Trust Allegiance,Large Growth,84.13,ATAFX,3/11/1997,6/30/2015,97.94,45
AMF Large Cap Equity AMF,Large Blend,77.41,IICAX,6/30/1953,4/30/2015,95.35,28
AMG Chicago Equity Ptnrs Sm Cp Val Instl,Small Value,87.76,CESIX,12/31/2014,6/30/2015,99.63,177
AMG FQ Tax-Managed US Equity Instl,Large Blend,67.35,MFQTX,12/18/2000,6/30/2015,97.32,150
AMG FQ US Equity Institutional,Large Blend,65.91,MEQFX,8/14/1992,6/30/2015,100.01,179
AMG Frontier Small Cap Growth Service,Small Growth,89.12,MSSCX,9/24/1997,6/30/2015,98.93,106
AMG GW&K Small Cap Core Investor,Small Growth,82.63,GWETX,12/10/1996,6/30/2015,97.98,78
AMG Managers Brandywine,Mid Growth,95.78,BRWIX,12/12/1985,6/30/2015,96.49,81
AMG Managers Brandywine Advs Mid Cap Gr,Mid Growth,94.54,BWAFX,10/31/2000,6/30/2015,92.8,46
AMG Managers Brandywine Blue,Large Growth,70.46,BLUEX,1/10/1991,6/30/2015,95.79,43
AMG Managers Cadence Cptl Apprec Instl,Large Growth,64.82,MPCIX,3/8/1991,6/30/2015,99.71,72
AMG Managers Cadence Emerging Coms Instl,Small Growth,98.83,MECIX,6/25/1993,6/30/2015,96.68,101
AMG Managers Cadence Mid Cap Instl,Mid Growth,92.55,MCMFX,8/26/1991,6/30/2015,99.72,71
AMG Managers Emerging Opps Svc,Small Growth,93.77,MMCFX,6/30/1994,4/30/2015,96.52,353
AMG Managers Essex Sm/Micro Cap Gr Inv,Small Growth,96.91,MBRSX,6/25/2002,6/30/2015,98.78,96
AMG Managers Skyline Special Equities,Small Blend,95.78,SKSEX,4/23/1987,6/30/2015,95.43,75
AMG Managers Special Equity Service,Small Growth,75.1,MGSEX,6/1/1984,6/30/2015,97.63,302
AMG Renaissance Large Cap Growth Instl,Large Growth,78.73,MRLIX,6/3/2009,6/30/2015,98.1,56
AMG SouthernSun Small Cap Investor,Small Blend,98.14,SSSFX,10/1/2003,3/31/2015,97.83,27
AMG SouthernSun US Equity C,Mid Blend,97.8,SSECX,4/10/2012,3/31/2015,87.82,22
AMG Systematic Large Cap Value Instl,Large Value,69.22,MSYSX,4/1/2002,6/30/2015,96.86,98
AMG Systematic Mid Cap Value Instl,Mid Value,87.42,SYIMX,12/21/2006,6/30/2015,98.45,91
AMG TimesSquare All Cap Growth Instl,Large Growth,71.81,MTGIX,7/30/2010,6/30/2015,97.01,39
AMG TimesSquare Mid Cap Growth Instl,Mid Growth,90.62,TMDIX,3/4/2005,6/30/2015,97.3,77
AMG TimesSquare Small Cap Growth Instl,Small Growth,85.09,TSCIX,1/21/2000,6/30/2015,94.5,109
AMG Yacktman Focused Service,Large Blend,86.38,YAFFX,5/1/1997,6/30/2015,83.37,28
AMG Yacktman Service,Large Blend,80.64,YACKX,7/6/1992,6/30/2015,82.3,42
Ancora MicroCap C,Small Value,100,ANCCX,9/2/2008,3/31/2015,88.69,87
Ancora Special Opportunity C,Small Value,99.28,ANSCX,1/5/2004,3/31/2015,77.95,39
Ancora/Thelen Small-Mid Cap C,Small Blend,96.69,AATCX,1/2/2013,3/31/2015,99.1,76
APEXcm Small/Mid Cap Growth,Mid Growth,94.94,APSGX,6/29/2012,6/30/2015,94.91,78
API Efficient Frontier Value L,Mid Blend,91.91,YCVTX,11/2/1992,3/31/2015,97.16,218
Appleton Equity Growth,Large Growth,66.96,[na],12/29/2000,6/30/2015,97.25,45
AQR Large Cap Defensive Style I,Large Blend,59.38,AUEIX,7/9/2012,6/30/2015,94.95,202
AQR Large Cap Momentum Style I,Large Growth,57.65,AMOMX,7/9/2009,6/30/2015,96.94,536
AQR Large Cap Multi-Style N,Large Value,77.79,QCENX,3/26/2013,6/30/2015,94.25,339
AQR Small Cap Momentum Style I,Small Growth,74.87,ASMOX,7/9/2009,6/30/2015,96.51,"1,002"
AQR Small Cap Multi-Style N,Small Value,80.63,QSMNX,3/26/2013,6/30/2015,98.46,593
AQR TM Large Cap Momentum Style I,Large Growth,54.65,ATMOX,1/27/2012,6/30/2015,98.8,309
AQR TM Large Cap Multi-Style R6,Large Value,74.88,QTLRX,2/11/2015,6/30/2015,96.18,271
AQR TM Small Cap Momentum Style I,Small Growth,72.03,ATSMX,1/27/2012,6/30/2015,97.57,711
AQR TM Small Cap Multi-Style R6,Small Value,79.23,QSSRX,2/11/2015,6/30/2015,98.98,493
Aquila Three Peaks Opportunity Growth A,Mid Growth,89.92,ATGAX,7/22/1994,6/30/2015,94.92,70
AR Capital Dividend and Value A,Large Value,99.07,DIVAX,4/30/2014,3/31/2015,83.59,33
Archer Stock,Mid Growth,95.64,ARSKX,3/9/2011,2/28/2015,98.57,50
Ariel Appreciation Investor,Mid Blend,96.23,CAAPX,12/1/1989,6/30/2015,95.12,41
Ariel Discovery Investor,Small Blend,99.42,ARDFX,1/31/2011,6/30/2015,95.92,36
Ariel Focus Investor,Large Value,86.95,ARFFX,6/30/2005,6/30/2015,99.8,31
Ariel Fund Investor,Mid Blend,96.92,ARGFX,11/6/1986,6/30/2015,89.41,39
Artisan Mid Cap Investor,Mid Growth,96.67,ARTMX,6/27/1997,6/30/2015,96.15,71
Artisan Mid Cap Value Investor,Mid Value,82.92,ARTQX,3/28/2001,6/30/2015,91.24,62
Artisan Small Cap Investor,Small Growth,87.02,ARTSX,3/28/1995,6/30/2015,95.74,76
Artisan Small Cap Value Investor,Small Value,89.89,ARTVX,9/29/1997,6/30/2015,91.2,99
Artisan Value Investor,Large Value,87.35,ARTLX,3/27/2006,6/30/2015,92.36,39
ASTON/Cornerstone Large Cap Value N,Large Value,77.77,RVALX,1/4/1993,6/30/2015,95.68,33
ASTON/Fairpointe Focused Equity I,Large Value,95.88,AFFEX,12/24/2014,6/30/2015,97.82,33
ASTON/Fairpointe Mid Cap N,Mid Blend,94.79,CHTTX,9/19/1994,6/30/2015,97.18,48
ASTON/Herndon Large Cap Value N,Large Blend,82.73,AALIX,3/30/2010,6/30/2015,96.72,47
ASTON/LMCG Small Cap Growth N,Small Growth,89.62,ACWDX,11/3/2010,6/30/2015,94.04,72
ASTON/Montag & Caldwell Growth N,Large Growth,68.24,MCGFX,11/2/1994,6/30/2015,94.67,41
ASTON/Montag & Caldwell Mid Cap Growth N,Mid Growth,96.26,AMCMX,11/2/2007,6/30/2015,97.19,53
ASTON/River Road Div All Cap Val II I,Large Value,82.08,ADIVX,6/27/2012,6/30/2015,97.45,55
ASTON/River Road Dividend All Cap Val N,Large Value,83.04,ARDEX,6/28/2005,6/30/2015,99.98,64
ASTON/River Road Independent Value N,Small Value,99.5,ARIVX,12/31/2010,6/30/2015,16.03,14
ASTON/River Road Select Value N,Small Blend,96.55,ARSMX,3/29/2007,6/30/2015,97.02,65
ASTON/River Road Small Cap Value N,Small Blend,96.46,ARSVX,6/28/2005,6/30/2015,91.25,65
ASTON/Silvercrest Small Cap I,Small Blend,93.98,ACRTX,12/27/2011,6/30/2015,98.22,60
ASTON/TAMRO Diversified Equity N,Large Growth,85.52,ATLVX,11/30/2000,6/30/2015,98.37,54
ASTON/TAMRO Small Cap N,Small Growth,86.51,ATASX,11/30/2000,6/30/2015,98.47,60
AT Disciplined Equity Institutional,Large Growth,76.45,AWEIX,12/1/2005,4/30/2015,97.52,57
AT Mid Cap Equity Institutional,Mid Growth,90.07,AWMIX,6/27/2014,4/30/2015,96.79,85
ATM Large Cap Managed Volatility IA,Large Blend,13.71,[na],8/28/2009,6/30/2015,108.43,505
ATM Mid Cap Managed Volatility IA,Mid Blend,75.96,[na],8/28/2009,6/30/2015,109.78,402
ATM Small Cap Managed Volatility IA,Small Blend,36.94,[na],8/28/2009,6/30/2015,110.3,"1,987"
Auer Growth,Small Blend,98.6,AUERX,12/26/2007,6/30/2015,91.93,91
Auxier Focus Inv,Large Value,83.99,AUXFX,7/9/1999,3/31/2015,93.58,117
Ave Maria Catholic Values,Mid Blend,97.06,AVEMX,5/1/2001,6/30/2015,92.66,48
Ave Maria Growth,Mid Growth,96.28,AVEGX,5/1/2003,6/30/2015,94.64,38
Ave Maria Rising Dividend,Large Blend,85.99,AVEDX,5/2/2005,6/30/2015,95.33,46
AXA 2000 Managed Volatility IA,Small Blend,38.64,[na],5/27/2009,6/30/2015,105.5,"1,982"
AXA 400 Managed Volatility IA,Mid Blend,75.96,[na],5/27/2009,6/30/2015,104.38,401
AXA 500 Managed Volatility IA,Large Blend,13.72,[na],5/27/2009,6/30/2015,105.68,504
AXA Large Cap Core Managed Volatil IB,Large Blend,31.57,[na],1/4/1999,6/30/2015,103.14,589
AXA Large Cap Growth Managed Vol IB,Large Growth,50.53,[na],5/1/1997,6/30/2015,103.66,689
AXA Large Cap Value Managed Volatil IB,Large Value,59.65,[na],1/2/1998,6/30/2015,101.03,780
AXA Mid Cap Value Managed Volatil IB,Mid Value,67,[na],5/1/1997,6/30/2015,103.27,636
AXA/AB Small Cap Growth IA,Small Growth,80.64,[na],5/1/1997,6/30/2015,99.82,"1,531"
AXA/Franklin Small Cap Val Mgd Vol IA,Small Blend,66.47,[na],9/15/2006,6/30/2015,101.53,"2,010"
AXA/Horizon Small Cap Value IB,Small Value,84.33,[na],4/15/2014,6/30/2015,95.72,"1,360"
AXA/Loomis Sayles Growth IB,Large Growth,79.55,[na],12/1/1998,6/30/2015,99.74,41
AXA/Lord Abbett Micro Cap IB,Small Growth,98.76,[na],4/15/2014,6/30/2015,98.29,"1,737"
AXA/Morgan Stanley Small Cap Growth IB,Small Growth,71.3,[na],4/15/2014,6/30/2015,100.02,"1,190"
AXA/Mutual Large Cap Equity Mgd Vol IA,Large Blend,47.57,[na],9/15/2006,6/30/2015,96.68,583
AXA/Pacific Global Small Cap Value IB,Small Blend,71.15,[na],4/15/2014,6/30/2015,100.27,"1,314"
Azzad Ethical,Mid Growth,90.07,ADJEX,12/22/2000,6/30/2015,96.44,74
B. Riley Diversified Equity Instl,Small Blend,97.84,BRDZX,2/10/2014,6/30/2015,100,134
Baird LargeCap Inst,Large Blend,75.02,BHGIX,9/29/2000,6/30/2015,98.93,123
Baird MidCap Inst,Mid Growth,92.15,BMDIX,12/29/2000,6/30/2015,96.01,60
Baird SmallCap Value Investor,Small Blend,96.33,BSVSX,5/1/2012,6/30/2015,95.54,43
Baron Asset Retail,Mid Growth,93.51,BARAX,6/12/1987,6/30/2015,99.43,65
Baron Discovery Institutional,Small Growth,96.46,BDFIX,9/30/2013,6/30/2015,94.69,60
Baron Fifth Avenue Growth Retail,Large Growth,71.35,BFTHX,4/30/2004,6/30/2015,98.17,40
Baron Focused Growth Retail,Mid Growth,98.42,BFGFX,5/31/1996,6/30/2015,96.89,25
Baron Growth Retail,Mid Growth,97.24,BGRFX,12/30/1994,6/30/2015,98.4,91
Baron Opportunity Retail,Mid Growth,98.76,BIOPX,2/29/2000,6/30/2015,99.18,56
Baron Partners Retail,Mid Growth,99.69,BPTRX,1/31/1992,6/30/2015,118.95,27
Baron Small Cap Retail,Small Growth,89.81,BSCFX,9/30/1997,6/30/2015,98.16,101
Barrett Growth,Large Growth,65.14,BGRWX,12/29/1998,6/30/2015,98.02,52
Barrett Opportunity,Large Value,100,SAOPX,2/28/1979,6/30/2015,98.81,24
Barrow Value Opportunity Institutional,Mid Blend,92.11,BALIX,12/31/2008,6/30/2015,96.9,215
Baywood SKBA ValuePlus Investor,Large Value,72.78,BVPNX,6/27/2008,5/31/2015,95.3,50
BBH Core Select N,Large Blend,86.45,BBTEX,11/2/1998,7/31/2015,87.72,33
BearlyBullish Investor,Large Growth,86.34,BRBLX,6/15/2011,3/31/2015,93.56,47
"Beck, Mack & Oliver Partners",Large Blend,95.56,BMPEX,8/31/1993,3/31/2015,100,28
Becker Value Equity Retail,Large Value,78.91,BVEFX,11/3/2003,4/30/2015,97.24,58
Bernzott US Small Cap Value,Small Blend,98.22,BSCVX,9/11/2012,5/31/2015,89.11,27
Berwyn,Small Blend,99.28,BERWX,5/4/1984,6/30/2015,90.53,44
Berwyn Cornerstone,Large Value,88.54,BERCX,5/1/2002,6/30/2015,87.37,40
BFS Equity,Large Growth,70.39,BFSAX,11/8/2013,6/30/2015,97.37,45
Biondo Focus Investor,Large Growth,86.2,BFONX,3/17/2010,6/30/2015,100.46,22
Biondo Growth Inv,Large Growth,77.82,BIONX,5/3/2006,6/30/2015,96.98,30
Bishop Street Dividend Value I,Large Value,68.33,BSLIX,5/1/2006,3/31/2015,95.69,90
Bishop Street Strategic Growth Instl,Large Growth,77.99,BSRIX,7/1/2002,3/31/2015,98.1,33
BlackRock Basic Value Instl,Large Value,72.09,MABAX,7/1/1977,6/30/2015,99.44,100
BlackRock Capital Appreciation Inv A,Large Growth,65.52,MDFGX,12/31/1997,6/30/2015,98.06,52
BlackRock Disciplined Sm Cap Cor Inv A,Small Blend,90.73,BDSAX,3/14/2013,6/30/2015,98.02,276
BlackRock Equity Dividend Inv B,Large Value,59.33,MBDVX,11/25/1987,6/30/2015,96.32,87
BlackRock Event Driven Equity Inv A,Large Blend,98.52,BALPX,12/19/2007,4/30/2015,99.03,101
BlackRock Exchange BlackRock,Large Blend,77.84,STSEX,12/17/1976,6/30/2015,98.96,32
BlackRock Flexible Equity Investor A,Large Blend,70.42,BMCAX,8/26/1986,6/30/2015,99.45,95
BlackRock Mid Cap Value Opps Inv A,Mid Value,87.46,MDRFX,2/1/1995,6/30/2015,99.26,124
BlackRock Mid-Cap Growth Equity Inv A,Mid Growth,96.64,BMGAX,12/27/1996,6/30/2015,94.3,67
BlackRock Small Cap Growth Equity Instl,Small Growth,86.59,PSGIX,9/14/1993,6/30/2015,97.95,387
BlackRock US Opportunities Inv A,Mid Growth,86.04,BMEAX,5/1/1998,6/30/2015,93.87,144
Blue Chip Investor,Large Blend,91.69,BCIFX,12/31/2001,3/31/2015,88.27,16
BMO Dividend Income I,Large Value,63.72,MDIVX,12/29/2011,6/30/2015,97.57,83
BMO Large-Cap Growth Y,Large Growth,68.92,MASTX,11/20/1992,6/30/2015,96.57,69
BMO Large-Cap Value Y,Large Value,70.48,MREIX,9/30/1993,6/30/2015,96.91,78
BMO Low Volatility Equity I,Large Value,83.38,MLVEX,9/28/2012,6/30/2015,98.04,89
BMO Mid-Cap Growth Y,Mid Growth,94.24,MRMSX,9/30/1993,6/30/2015,96.51,90
BMO Mid-Cap Value Y,Mid Value,84.65,MRVEX,9/30/1993,6/30/2015,97.09,67
BMO Small-Cap Core I,Small Blend,91.11,BSCNX,12/27/2013,6/30/2015,98.19,164
BMO Small-Cap Growth Y,Small Growth,92.09,MRSCX,11/1/1995,6/30/2015,97.15,84
BMO Small-Cap Value I,Small Value,90.72,MRSNX,2/28/2011,6/30/2015,96.97,83
BNY Mellon Focused Equity Opp Inv,Large Growth,89.43,MFOIX,9/30/2009,6/30/2015,99.55,31
